categoria,subcategoria,label
Outros,Governança e Leis,Contemplado em Plano de Mobilidade Urbana
Outros,Origem e Destino,POD - Número médio de viagens diárias
Outros,Origem e Destino,POD - Distância média das viagens
Outros,Origem e Destino,POD - Tempo médio das viagens
Outros,Origem e Destino,POD - Percentual de viagens a pé
Outros,Origem e Destino,POD - Percentual de viagens de bicicleta
Outros,Origem e Destino,POD - Percentual de viagens por transporte público
Outros,Origem e Destino,POD - Percentual de viagens por automóvel individual
Outros,Origem e Destino,POD - Percentual de viagens por moto
Outros,Origem e Destino,POD - Percentual de viagens por táxi ou carro de aplicativo
Outros,Origem e Destino,POD - Percentual de viagens por outros modais
Infraestrutura,Automóvel,Vagas de Estacionamento Reguladas
Infraestrutura,Automóvel,Percentual de Vagas de Estacionamento para Deficientes
Infraestrutura,Automóvel,Percentual de Vagas de Estacionamento para Idosos
Infraestrutura,Automóvel,Percentual de Vagas de Estacionamento para Gestantes
Infraestrutura,Automóvel,Existe Fiscalização para Cobrança em Vagas Públicas
Arrecadação,Tributos,Valor Arrecadado com Cobrança de Estacionamento
Frota,Ônibus,Frota de Ônibus com Fontes de Energia Alternativa
Frota,Ônibus,Frota de Ônibus Movido a Etanol (%)
Frota,Ônibus,Frota de Ônibus Movido a Eletricidade (%)
Frota,Ônibus,Frota de Ônibus Movido a Gás Natural (%)
Frota,Ônibus,Frota de Ônibus Movido a Hidrogênio (%)
Frota,Ônibus,Frota de Ônibus Movido a Biodiesel (%)
Frota,Ônibus,Frota de Ônibus Híbridos (Eletricidade + Diesel) (%)
Frota,Táxi,Frota de Táxis com Fontes de Energia Alternativa
Frota,Táxi,Frota de Táxis Movido a Etanol (%)
Frota,Táxi,Frota de Táxis Movido a Eletricidade (%)
Frota,Táxi,Frota de Táxis Movido a Gás Natural (%)
Frota,Táxi,Frota de Táxis Híbridos (Eletricidade + Gasolina) (%)
Outros,Governança e Leis,Conselho Municipal de Transporte e/ou Mobilidade Urbana
Infraestrutura,Trabalhadores,Agentes de Trânsito em Exercício
Infraestrutura,Equipamentos,Equipamentos de Fiscalização
Arrecadação,Multas,Valor Arrecadado com Multas de Trânsito
Demanda,Automóvel,Passageiros de Transporte por Aplicativo
Frota,Automóvel,Quilômetros Percorridos de Transporte por Aplicativo
missing,Automóvel,Valor Arrecadado de Transporte por Aplicativo
