"code_variable";"label";"label_pergunta";"categoria";"subcategoria";"is_dashboard";"is_tabela";"is_absolute";"is_average";"is_percentage"
"1.4.5.A";NA;"Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?";NA;NA;"0";"0";"0";"0";"0"
"1.5.1.A";"Frota de ônibus";"Qual a frota de veículos operacionais de ônibus convencional no município?";"Frota";"Ônibus";"0";"1";"1";"0";"0"
"1.5.1.B";"Ônibus (capacidade média)";"Qual a capacidade média da frota de ônibus convencionais operacionais no município?";"Frota";"Ônibus";"1";"1";"0";"1";"0"
"1.5.1.C";"Ônibus (piso baixo)";"Qual o número de ônibus convencionais operacionais de piso baixo no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.D";"Ônibus (com plataforma)";"Qual o número de ônibus convencionais operacionais com plataforma elevatória no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.E";"Frota de Ônibus Articulados";"Qual a frota de veículos operacionais de ônibus articulado no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.F";"Ônibus Articulados (capacidade média)";"Qual a capacidade média de ônibus articulado operacionais no município?";"Frota";"Ônibus";"1";"1";"0";"1";"0"
"1.5.1.G";"Ônibus Articulados (piso baixo)";"Qual o número de ônibus articulados operacionais de piso baixo?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.H";"Ônibus Articulados (com plataforma)";"Qual o número de ônibus articulados operacionais com plataforma elevatória no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.I";"Frota de Ônibus Biarticulados";"Qual a frota de veículos operacionais de ônibus biarticulado no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.J";"Ônibus Biarticulados (cap. média)";"Qual a capacidade média de ônibus biarticulado operacionais no município?";"Frota";"Ônibus";"1";"1";"0";"1";"0"
"1.5.1.K";"Ônibus Biarticulados (piso baixo)";"Qual o número de ônibus biarticulados operacionais de piso baixo?";"Frota";"Ônibus";"1";NA;"1";"0";"0"
"1.5.1.L";"Ônibus Biarticulados (com plataforma)";"Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.1.M";"Frota de Microônibus";"Qual a frota de veículos operacionais de vans/microônibus no município?";"Frota";"Vans/Microônibus";"1";"1";"1";"0";"0"
"1.5.1.N";"Microônibus (capacidade média)";"Qual a capacidade média da frota de vans/microônibus operacionais no município?";"Frota";"Vans/Microônibus";"1";"1";"0";"1";"0"
"1.5.1.O";"Frota de Táxis";"Qual a frota de veículos operacionais de táxi no município?";"Frota";"Táxi";"1";"1";"1";"0";"0"
"1.5.1.P";"Frota de Mototáxis";"Qual a frota de veículos operacionais de mototáxi no município?";"Frota";"Mototáxi";"1";"1";"1";"0";"0"
"1.5.1.Q";"Frota (composição) de Metrôs";"Qual a frota de veículos operacionais de metrô (composição) no município?";"Frota";"Metrô";"1";NA;"1";"0";"0"
"1.5.1.R";"Metrô (capacidade média)";"Qual a capacidade média de um veículo de metrô (composição) no município?";"Frota";"Metrô";"1";NA;"0";"1";"0"
"1.5.1.S";"Frota de Trens";"Qual a frota de veículos operacionais de trem (composição) no município?";"Frota";"Trem";"1";NA;"1";"0";"0"
"1.5.1.T";"Trem (capacidade média)";"Qual a capacidade média de um veículo de trem (composição) no município?";"Frota";"Trem";"1";NA;"0";"1";"0"
"1.5.1.U";"Frota de Barcos";"Qual a frota de barcos operacionais no município?";"Frota";"Barco";"1";"1";"1";"0";"0"
"1.5.1.V";"Barcos (capacidade média)";"Qual a capacidade média da frota de barco no município?";"Frota";"Barco";"1";"1";"0";"1";"0"
"1.5.1.W";"Frota (composição) de VLTs";"Qual a frota de veículos operacionais de VLT (composição) no município?";"Frota";"VLT";"1";NA;"1";"0";"0"
"1.5.1.X";"VLT (capacidade média)";"Qual a capacidade média de um veículo de VLT (composição) no município?";"Frota";"VLT";"1";NA;"0";"1";"0"
"1.5.1.Y";"Frota (composição) de Monotrilhos";"Qual a frota de veículos operacionais de monotrilho (composição) no município?";"Frota";"Monotrilho";"1";NA;"1";"0";"0"
"1.5.1.Z";"Monotrilho (capacidade média)";"Qual a capacidade média de um veículo de monotrilho (composição) no município?";"Frota";"Monotrilho";"1";NA;"0";"1";"0"
"1.5.1.AA";"Frota (composição) de Aeromóvel";"Qual a frota de veículos operacionais de aeromóvel (composição) no município?";"Frota";"Aeromóvel";"1";NA;"1";"0";"0"
